pclass;sex;age;sibsp;parch;fare;embarked;survived
2nd;female;31;0;0;21;S;yes
2nd;male;30;1;0;21;S;no
2nd;male;23;1;0;10,5;S;no
2nd;female;31;0;0;21;S;yes
2nd;female;12;0;0;15,75;S;yes
2nd;female;40;0;0;15,75;S;yes
2nd;female;32,5;0;0;13;S;yes
2nd;male;27;1;0;26;S;no
2nd;female;29;1;0;26;S;yes
2nd;male;2;1;1;23;S;yes
2nd;female;4;1;1;23;S;yes
2nd;female;29;0;2;23;S;yes
2nd;female;0,9167;1;2;27,75;S;yes
2nd;female;5;1;2;27,75;S;yes
2nd;male;36;1;2;27,75;S;no
2nd;female;33;1;2;27,75;S;yes
2nd;male;66;0;0;10,5;S;no
2nd;male;31;0;0;13;S;yes
2nd;female;26;0;0;13,5;S;yes
2nd;female;24;0;0;13;S;no
3rd;male;42;0;0;7,55;S;no
3rd;male;13;0;2;20,25;S;no
3rd;male;16;1;1;20,25;S;no
3rd;female;35;1;1;20,25;S;yes
3rd;female;16;0;0;7,65;S;yes
3rd;male;25;0;0;7,65;S;yes
3rd;male;20;0;0;7,925;S;yes
3rd;female;18;0;0;7,2292;C;yes
3rd;male;30;0;0;7,25;S;no
3rd;male;26;0;0;8,05;S;no
3rd;female;40;1;0;9,475;S;no
3rd;male;0,8333;0;1;9,35;S;yes
3rd;female;18;0;1;9,35;S;yes
3rd;male;26;0;0;18,7875;C;yes
3rd;male;26;0;0;7,8875;S;no
3rd;male;20;0;0;7,925;S;no
3rd;male;24;0;0;7,05;S;no
3rd;male;25;0;0;7,05;S;no
3rd;male;35;0;0;8,05;S;no
3rd;male;18;0;0;8,3;S;no
3rd;male;32;0;0;22,525;S;no
3rd;female;19;1;0;7,8542;S;yes
3rd;male;4;4;2;31,275;S;no
3rd;female;6;4;2;31,275;S;no
3rd;female;2;4;2;31,275;S;no
3rd;female;17;4;2;7,925;S;yes
3rd;female;38;4;2;7,775;S;no
3rd;female;9;4;2;31,275;S;no
3rd;female;11;4;2;31,275;S;no
3rd;male;39;1;5;31,275;S;no
3rd;male;27;0;0;7,7958;S;yes
3rd;male;26;0;0;7,775;S;no
3rd;female;39;1;5;31,275;S;no
3rd;male;20;0;0;7,8542;S;no
3rd;male;26;0;0;7,8958;S;no
3rd;male;25;1;0;17,8;S;no
3rd;female;18;1;0;17,8;S;no
3rd;male;24;0;0;7,775;S;no
3rd;male;35;0;0;7,05;S;no
3rd;male;5;4;2;31,3875;S;no
3rd;male;9;4;2;31,3875;S;no
3rd;male;3;4;2;31,3875;S;yes
3rd;male;13;4;2;31,3875;S;no
3rd;female;5;4;2;31,3875;S;yes
3rd;male;40;1;5;31,3875;S;no
3rd;male;23;0;0;7,7958;S;yes
3rd;female;38;1;5;31,3875;S;yes
3rd;female;45;0;0;7,225;C;yes
3rd;male;21;0;0;7,225;C;no
3rd;male;23;0;0;7,05;S;no
3rd;female;17;0;0;14,4583;C;no
3rd;male;30;0;0;7,225;C;no
3rd;male;23;0;0;7,8542;S;no
3rd;female;13;0;0;7,2292;C;yes
3rd;male;20;0;0;7,225;C;no
3rd;male;32;1;0;15,85;S;no
3rd;female;33;3;0;15,85;S;yes
3rd;female;0,75;2;1;19,2583;C;yes
3rd;female;0,75;2;1;19,2583;C;yes
3rd;female;5;2;1;19,2583;C;yes
3rd;female;24;0;3;19,2583;C;yes
3rd;female;18;0;0;8,05;S;yes
3rd;male;40;0;0;7,225;C;no
3rd;male;26;0;0;7,8958;S;no
3rd;male;20;0;0;7,2292;C;yes
3rd;female;18;0;1;14,4542;C;no
3rd;female;45;0;1;14,4542;C;no
3rd;female;27;0;0;7,8792;Q;no
3rd;male;22;0;0;8,05;S;no
3rd;male;19;0;0;8,05;S;no
3rd;male;26;0;0;7,775;S;no
3rd;male;22;0;0;9,35;S;no
3rd;male;20;0;0;4,0125;C;no
3rd;male;32;0;0;56,4958;S;yes
3rd;male;21;0;0;7,775;S;no
3rd;male;18;0;0;7,75;S;no
3rd;male;26;0;0;7,8958;S;no
3rd;male;6;1;1;15,2458;C;no
3rd;female;9;1;1;15,2458;C;no
3rd;male;40;1;1;15,5;Q;no
3rd;female;32;1;1;15,5;Q;no
3rd;male;21;0;0;16,1;S;no
3rd;female;22;0;0;7,725;Q;yes
3rd;female;20;0;0;7,8542;S;no
3rd;male;29;1;0;7,0458;S;no
3rd;male;22;1;0;7,25;S;no
3rd;male;22;0;0;7,7958;S;no
3rd;male;35;0;0;8,05;S;no
3rd;female;18,5;0;0;7,2833;Q;no
3rd;male;21;0;0;7,8208;Q;yes
3rd;male;19;0;0;6,75;Q;no
3rd;female;18;0;0;7,8792;Q;no
3rd;female;21;0;0;8,6625;S;no
3rd;female;30;0;0;8,6625;S;no
3rd;male;18;0;0;8,6625;S;no
3rd;male;38;0;0;8,6625;S;no
3rd;male;17;0;0;8,6625;S;no
3rd;male;17;0;0;8,6625;S;no
3rd;female;21;0;0;7,75;Q;no
3rd;male;21;0;0;7,75;Q;no
3rd;male;21;0;0;8,05;S;no
3rd;male;28;0;0;7,7958;S;no
3rd;male;24;0;0;7,8542;S;no
3rd;female;16;0;0;7,75;Q;yes
3rd;female;37;0;0;7,75;Q;no
3rd;male;28;0;0;7,25;S;no
3rd;male;24;0;0;8,05;S;no
3rd;male;21;0;0;7,7333;Q;no
3rd;male;32;0;0;56,4958;S;yes
3rd;male;29;0;0;8,05;S;no
3rd;male;26;1;0;14,4542;C;no
3rd;male;18;1;0;14,4542;C;no
3rd;male;20;0;0;7,05;S;no
3rd;male;18;0;0;8,05;S;yes
3rd;male;24;0;0;7,25;Q;no
3rd;male;36;0;0;7,4958;S;no
3rd;male;24;0;0;7,4958;S;no
3rd;male;31;0;0;7,7333;Q;no
3rd;male;31;0;0;7,75;Q;no
3rd;female;22;0;0;7,75;Q;yes
3rd;female;30;0;0;7,6292;Q;no
3rd;male;70,5;0;0;7,75;Q;no
3rd;male;43;0;0;8,05;S;no
3rd;male;35;0;0;7,8958;S;no
3rd;male;27;0;0;7,8958;S;no
3rd;male;19;0;0;7,8958;S;no
3rd;male;30;0;0;8,05;S;no
3rd;male;9;1;1;15,9;S;yes
3rd;male;3;1;1;15,9;S;yes
3rd;female;36;0;2;15,9;S;yes
3rd;male;59;0;0;7,25;S;no
3rd;male;19;0;0;8,1583;S;no
3rd;female;17;0;1;16,1;S;yes
3rd;male;44;0;1;16,1;S;no
3rd;male;17;0;0;8,6625;S;no
3rd;male;22,5;0;0;7,225;C;no
3rd;male;45;0;0;8,05;S;yes
3rd;female;22;0;0;10,5167;S;no
3rd;male;19;0;0;10,1708;S;no
3rd;female;30;0;0;6,95;Q;yes
3rd;male;29;0;0;7,75;Q;yes
3rd;male;0,3333;0;2;14,4;S;no
3rd;male;34;1;1;14,4;S;no
3rd;female;28;1;1;14,4;S;no
3rd;male;27;0;0;7,8958;S;no
3rd;male;25;0;0;7,8958;S;no
3rd;male;24;2;0;24,15;S;no
3rd;male;22;0;0;8,05;S;no
3rd;male;21;2;0;24,15;S;no
3rd;male;17;2;0;8,05;S;no
3rd;male;36,5;1;0;17,4;S;yes
3rd;female;36;1;0;17,4;S;yes
3rd;male;30;0;0;9,5;S;yes
3rd;male;16;0;0;9,5;S;no
3rd;male;1;1;2;20,575;S;yes
3rd;female;0,1667;1;2;20,575;S;yes
3rd;male;26;1;2;20,575;S;no
3rd;female;33;1;2;20,575;S;yes
3rd;male;25;0;0;7,8958;S;no
3rd;male;22;0;0;7,25;S;no
3rd;male;36;0;0;7,25;S;no
3rd;female;19;0;0;7,8792;Q;yes
3rd;male;17;0;0;7,8958;S;no
3rd;male;42;0;0;8,6625;S;no
3rd;male;43;0;0;7,8958;S;no
3rd;male;32;0;0;7,75;Q;no
3rd;male;19;0;0;8,05;S;yes
3rd;female;30;0;0;12,475;S;yes
3rd;female;24;0;0;7,75;Q;no
3rd;female;23;0;0;8,05;S;yes
3rd;male;33;0;0;7,8958;C;no
3rd;male;65;0;0;7,75;Q;no
3rd;male;24;0;0;7,55;S;yes
3rd;male;23;1;0;13,9;S;no
3rd;female;22;1;0;13,9;S;yes
3rd;male;18;0;0;7,775;S;no
3rd;male;16;0;0;7,775;S;no
3rd;male;45;0;0;6,975;S;no
3rd;male;39;0;2;7,2292;C;no
3rd;male;17;1;1;7,2292;C;no
3rd;male;15;1;1;7,2292;C;no
3rd;male;47;0;0;7,25;S;no
3rd;female;5;0;0;12,475;S;yes
3rd;male;40,5;0;0;15,1;S;no
3rd;male;40,5;0;0;7,75;Q;no
3rd;male;18;0;0;7,7958;S;no
3rd;male;26;0;0;7,8792;Q;no
3rd;female;21;2;2;34,375;S;no
3rd;female;9;2;2;34,375;S;no
3rd;male;18;2;2;34,375;S;no
3rd;male;16;1;3;34,375;S;no
3rd;female;48;1;3;34,375;S;no
3rd;male;25;0;0;7,7417;Q;no
3rd;male;22;0;0;8,05;S;no
3rd;female;16;0;0;7,7333;Q;yes
3rd;male;9;0;2;20,525;S;yes
3rd;male;33;1;1;20,525;S;no
3rd;male;41;0;0;7,85;S;no
3rd;female;31;1;1;20,525;S;yes
3rd;male;38;0;0;7,05;S;no
3rd;male;9;5;2;46,9;S;no
3rd;male;1;5;2;46,9;S;no
3rd;male;11;5;2;46,9;S;no
3rd;female;10;5;2;46,9;S;no
3rd;female;16;5;2;46,9;S;no
3rd;male;14;5;2;46,9;S;no
3rd;male;40;1;6;46,9;S;no
3rd;female;43;1;6;46,9;S;no
3rd;male;51;0;0;8,05;S;no
3rd;male;32;0;0;8,3625;S;no
3rd;male;20;0;0;9,8458;S;no
3rd;male;37;2;0;7,925;S;no
3rd;male;28;2;0;7,925;S;no
3rd;male;19;0;0;7,775;S;no
3rd;female;24;0;0;8,85;S;no
3rd;female;17;0;0;7,7333;Q;no
3rd;male;28;1;0;15,85;S;no
3rd;female;24;1;0;15,85;S;yes
3rd;male;20;0;0;9,5;S;no
3rd;male;23,5;0;0;7,2292;C;no
3rd;male;41;2;0;14,1083;S;no
3rd;male;26;1;0;7,8542;S;no
3rd;male;21;0;0;7,8542;S;no
3rd;female;45;1;0;14,1083;S;yes
3rd;male;25;0;0;7,25;S;no
3rd;male;11;0;0;18,7875;C;no
3rd;male;27;0;0;6,975;S;yes
3rd;female;18;0;0;6,75;Q;no
3rd;female;26;0;0;7,925;S;yes
3rd;female;23;0;0;7,925;S;no
3rd;female;22;0;0;8,9625;S;yes
3rd;male;28;0;0;7,8958;S;no
3rd;female;28;0;0;7,775;S;no
3rd;female;2;0;1;12,2875;S;yes
3rd;female;22;1;1;12,2875;S;yes
3rd;male;43;0;0;6,45;S;no
3rd;male;28;0;0;22,525;S;no
3rd;female;27;0;0;7,925;S;yes
3rd;male;42;0;0;7,65;S;no
3rd;male;30;0;0;7,2292;C;no
3rd;female;27;1;0;7,925;S;no
3rd;female;25;1;0;7,925;S;no
3rd;male;29;0;0;7,8958;C;yes
3rd;male;21;0;0;7,7958;S;yes
3rd;male;20;0;0;7,8542;S;no
3rd;male;48;0;0;7,8542;S;no
3rd;male;17;1;0;7,0542;S;no
3rd;male;34;0;0;6,4958;S;no
3rd;male;26;0;0;7,775;S;yes
3rd;male;22;0;0;7,7958;S;no
3rd;male;33;0;0;8,6542;S;no
3rd;male;31;0;0;7,775;S;no
3rd;male;29;0;0;7,8542;S;no
3rd;male;4;1;1;11,1333;S;yes
3rd;female;1;1;1;11,1333;S;yes
3rd;male;49;0;0;0;S;no
3rd;male;33;0;0;7,775;S;no
3rd;male;19;0;0;0;S;no
3rd;female;27;0;2;11,1333;S;yes
3rd;male;23;0;0;7,8958;S;no
3rd;male;32;0;0;7,8542;S;yes
3rd;male;27;0;0;7,8542;S;no
3rd;female;20;1;0;9,825;S;no
3rd;female;21;1;0;9,825;S;no
3rd;male;32;0;0;7,925;S;yes
3rd;male;17;0;0;7,125;S;no
3rd;male;21;0;0;8,4333;S;no
3rd;male;30;0;0;7,8958;S;no
3rd;male;21;0;0;7,7958;S;yes
3rd;male;33;0;0;7,8542;S;no
3rd;male;22;0;0;7,5208;S;no
3rd;female;4;0;1;13,4167;C;yes
3rd;male;39;0;1;13,4167;C;yes
3rd;male;18,5;0;0;7,2292;C;no
3rd;male;34,5;0;0;7,8292;Q;no
3rd;male;44;0;0;8,05;S;no
3rd;female;22;2;0;8,6625;S;no
3rd;male;26;2;0;8,6625;S;no
3rd;female;4;0;2;22,025;S;yes
3rd;male;29;3;1;22,025;S;yes
3rd;female;26;1;1;22,025;S;yes
3rd;female;1;1;1;12,1833;S;no
3rd;male;18;1;1;7,8542;S;no
3rd;female;36;0;2;12,1833;S;no
3rd;male;25;0;0;7,2292;C;yes
3rd;female;37;0;0;9,5875;S;no
3rd;female;22;0;0;7,25;S;yes
3rd;male;26;0;0;56,4958;S;yes
3rd;male;29;0;0;9,4833;S;no
3rd;male;29;0;0;7,775;S;no
3rd;male;22;0;0;7,775;S;no
3rd;male;22;0;0;7,225;C;yes
3rd;male;32;0;0;7,925;S;no
3rd;male;34,5;0;0;6,4375;C;no
3rd;male;36;0;0;0;S;no
3rd;male;39;0;0;24,15;S;no
3rd;male;24;0;0;9,5;S;no
3rd;female;25;0;0;7,775;S;no
3rd;female;45;0;0;7,75;S;no
3rd;male;36;1;0;15,55;S;no
3rd;female;30;1;0;15,55;S;no
3rd;male;20;1;0;7,925;S;yes
3rd;male;28;0;0;56,4958;S;no
3rd;male;30;1;0;16,1;S;no
3rd;female;26;1;0;16,1;S;no
3rd;male;20,5;0;0;7,25;S;no
3rd;male;27;0;0;8,6625;S;yes
3rd;male;51;0;0;7,0542;S;no
3rd;female;23;0;0;7,8542;S;yes
3rd;male;32;0;0;7,5792;S;yes
3rd;male;24;0;0;7,1417;S;yes
3rd;male;22;0;0;7,125;S;no
3rd;male;29;0;0;7,925;S;no
3rd;female;30,5;0;0;7,75;Q;no
3rd;male;35;0;0;7,8958;C;no
3rd;male;33;0;0;7,8958;S;no
3rd;female;15;0;0;8,0292;Q;yes
3rd;female;35;0;0;7,75;Q;no
3rd;male;24;1;0;16,1;S;no
3rd;female;19;1;0;16,1;S;no
3rd;male;55,5;0;0;8,05;S;no
3rd;male;21;0;0;7,775;S;yes
3rd;male;24;0;0;7,8958;S;no
3rd;male;21;0;0;7,8958;S;no
3rd;male;28;0;0;7,8958;S;no
3rd;male;25;0;0;7,65;S;no
3rd;male;6;0;1;12,475;S;yes
3rd;female;27;0;1;12,475;S;yes
3rd;male;34;0;0;8,05;S;no
3rd;female;24;0;0;7,75;Q;yes
3rd;male;18;0;0;7,75;S;no
3rd;male;22;0;0;7,8958;S;no
3rd;female;15;0;0;7,225;C;yes
3rd;female;1;0;2;15,7417;C;yes
3rd;male;20;1;1;15,7417;C;yes
3rd;female;19;1;1;15,7417;C;yes
3rd;male;33;0;0;8,05;S;no
3rd;male;12;1;0;11,2417;C;yes
3rd;female;14;1;0;11,2417;C;yes
3rd;female;29;0;0;7,925;S;no
3rd;male;28;0;0;8,05;S;no
3rd;female;18;0;0;7,775;S;yes
3rd;female;26;0;0;7,8542;S;yes
3rd;male;21;0;0;7,8542;S;no
3rd;male;41;0;0;7,125;S;no
3rd;male;39;0;0;7,925;S;yes
3rd;male;21;0;0;7,8;S;no
3rd;male;28,5;0;0;7,2292;C;no
3rd;female;22;0;0;7,75;S;yes
3rd;male;61;0;0;6,2375;S;no
3rd;male;23;0;0;9,225;S;no
3rd;female;22;0;0;7,775;S;yes
3rd;male;9;0;1;3,1708;S;yes
3rd;male;28;0;0;22,525;S;no
3rd;male;42;0;1;8,4042;S;no
3rd;female;31;0;0;7,8542;S;no
3rd;male;28;0;0;7,8542;S;no
3rd;male;32;0;0;7,775;S;yes
3rd;male;20;0;0;9,225;S;no
3rd;female;23;0;0;8,6625;S;no
3rd;female;20;0;0;8,6625;S;no
3rd;male;20;0;0;8,6625;S;no
3rd;male;16;0;0;9,2167;S;no
3rd;female;31;0;0;8,6833;S;yes
3rd;male;2;3;1;21,075;S;no
3rd;male;6;3;1;21,075;S;no
3rd;female;3;3;1;21,075;S;no
3rd;female;8;3;1;21,075;S;no
3rd;female;29;0;4;21,075;S;no
3rd;male;1;4;1;39,6875;S;no
3rd;male;7;4;1;39,6875;S;no
3rd;male;2;4;1;39,6875;S;no
3rd;male;16;4;1;39,6875;S;no
3rd;male;14;4;1;39,6875;S;no
3rd;female;41;0;5;39,6875;S;no
3rd;male;21;0;0;8,6625;S;no
3rd;male;19;0;0;14,5;S;no
3rd;male;32;0;0;7,8958;S;no
3rd;male;0,75;1;1;13,775;S;no
3rd;female;3;1;1;13,775;S;no
3rd;female;26;0;2;13,775;S;no
3rd;male;21;0;0;7,925;S;no
3rd;male;25;0;0;7,925;S;no
3rd;male;22;0;0;7,25;S;no
3rd;male;25;1;0;7,775;S;yes
3rd;male;24;0;0;8,05;S;no
3rd;female;28;0;0;7,8958;S;no
3rd;male;19;0;0;7,8958;S;no
3rd;male;25;1;0;7,775;S;no
3rd;female;18;0;0;7,775;S;no
3rd;male;32;0;0;8,05;S;yes
3rd;male;17;0;0;8,6625;S;no
3rd;male;24;0;0;8,6625;S;no
3rd;male;38;0;0;7,8958;S;no
3rd;male;21;0;0;8,05;S;no
3rd;male;10;4;1;29,125;Q;no
3rd;male;4;4;1;29,125;Q;no
3rd;male;7;4;1;29,125;Q;no
3rd;male;2;4;1;29,125;Q;no
3rd;male;8;4;1;29,125;Q;no
3rd;female;39;0;5;29,125;Q;no
3rd;female;22;0;0;39,6875;S;no
3rd;male;35;0;0;7,125;S;no
3rd;male;50;1;0;14,5;S;no
3rd;female;47;1;0;14,5;S;no
3rd;female;2;1;1;20,2125;S;no
3rd;male;18;1;1;20,2125;S;no
3rd;female;41;0;2;20,2125;S;no
3rd;male;50;0;0;8,05;S;no
3rd;male;16;0;0;8,05;S;no
3rd;male;25;0;0;7,225;C;no
3rd;male;38,5;0;0;7,25;S;no
3rd;male;14,5;8;2;69,55;S;no
3rd;male;24;0;0;9,325;S;no
3rd;female;21;0;0;7,65;S;yes
3rd;male;39;0;0;7,925;S;no
3rd;female;1;1;1;16,7;S;yes
3rd;female;24;0;2;16,7;S;yes
3rd;female;4;1;1;16,7;S;yes
3rd;male;25;0;0;9,5;S;yes
3rd;male;20;0;0;8,05;S;no
3rd;male;24,5;0;0;8,05;S;no
3rd;male;29;0;0;9,5;S;yes
3rd;male;22;0;0;7,2292;C;no
3rd;male;40;0;0;7,8958;S;no
3rd;male;21;0;0;7,925;S;no
3rd;female;18;0;0;7,4958;S;yes
3rd;male;4;3;2;27,9;S;no
3rd;male;10;3;2;27,9;S;no
3rd;female;9;3;2;27,9;S;no
3rd;female;2;3;2;27,9;S;no
3rd;male;40;1;4;27,9;S;no
3rd;female;45;1;4;27,9;S;no
3rd;male;19;0;0;7,65;S;no
3rd;male;30;0;0;8,05;S;no
3rd;male;32;0;0;8,05;S;no
3rd;male;33;0;0;8,6625;C;no
3rd;female;23;0;0;7,55;S;yes
3rd;male;21;0;0;8,05;S;no
3rd;male;19;0;0;7,8958;S;no
3rd;female;22;0;0;9,8375;S;no
3rd;male;31;0;0;7,925;S;yes
3rd;male;27;0;0;8,6625;S;no
3rd;female;2;0;1;10,4625;S;no
3rd;female;29;1;1;10,4625;S;no
3rd;male;16;0;0;8,05;S;yes
3rd;male;44;0;0;7,925;S;yes
3rd;male;25;0;0;7,05;S;no
3rd;male;74;0;0;7,775;S;no
3rd;male;14;0;0;9,225;S;yes
3rd;male;24;0;0;7,7958;S;no
3rd;male;25;0;0;7,7958;S;yes
3rd;male;34;0;0;8,05;S;no
3rd;male;0,4167;0;1;8,5167;C;yes
3rd;female;16;1;1;8,5167;C;yes
3rd;male;32;0;0;7,925;S;no
3rd;male;30,5;0;0;8,05;S;no
3rd;male;44;0;0;8,05;S;no
3rd;male;25;0;0;0;S;yes
3rd;male;7;1;1;15,2458;C;yes
3rd;female;9;1;1;15,2458;C;yes
3rd;female;29;0;2;15,2458;C;yes
3rd;male;36;0;0;7,8958;S;no
3rd;female;18;0;0;9,8417;S;yes
3rd;female;63;0;0;9,5875;S;yes
3rd;male;11,5;1;1;14,5;S;no
3rd;male;40,5;0;2;14,5;S;no
3rd;female;10;0;2;24,15;S;no
3rd;male;36;1;1;24,15;S;no
3rd;female;30;1;1;24,15;S;no
3rd;male;33;0;0;9,5;S;no
3rd;male;28;0;0;9,5;S;no
3rd;male;28;0;0;9,5;S;no
3rd;male;47;0;0;9;S;no
3rd;female;18;2;0;18;S;no
3rd;male;31;3;0;18;S;no
3rd;male;16;2;0;18;S;no
3rd;female;31;1;0;18;S;no
3rd;male;22;0;0;7,225;C;yes
3rd;male;20;0;0;7,8542;S;no
3rd;female;14;0;0;7,8542;S;no
3rd;male;22;0;0;7,8958;S;no
3rd;male;22;0;0;9;S;no
3rd;male;32,5;0;0;9,5;S;no
3rd;female;38;0;0;7,2292;C;yes
3rd;male;51;0;0;7,75;S;no
3rd;male;18;1;0;6,4958;S;no
3rd;male;21;1;0;6,4958;S;no
3rd;female;47;1;0;7;S;yes
3rd;male;28,5;0;0;16,1;S;no
3rd;male;21;0;0;7,25;S;no
3rd;male;27;0;0;8,6625;S;no
3rd;male;36;0;0;9,5;S;no
3rd;male;27;1;0;14,4542;C;no
3rd;female;15;1;0;14,4542;C;yes
3rd;male;45,5;0;0;7,225;C;no
3rd;female;14,5;1;0;14,4542;C;no
3rd;male;26,5;0;0;7,225;C;no
3rd;male;27;0;0;7,225;C;no
3rd;male;29;0;0;7,875;S;no
